factor,horizon_bars,horizon_min,mean_ic,std_ic,t_stat,p_value,n_tickers,verdict
rsi14,30,150,-0.0475,0.0523,-2.72,0.0065,9,KEEP
ema_spread_pct,30,150,-0.0455,0.0354,-3.86,0.0001,9,KEEP
rsi14,6,30,-0.0369,0.0252,-4.39,0.0,9,KEEP
rsi14,12,60,-0.0354,0.0366,-2.91,0.0037,9,KEEP
vwap_dev_sd,30,150,-0.0329,0.0415,-2.38,0.0173,9,KEEP
stochrsi_k,6,30,-0.0314,0.0274,-3.44,0.0006,9,KEEP
adx14,12,60,0.0314,0.0418,2.25,0.0243,9,KEEP
obv_slope,12,60,-0.0311,0.0186,-5.02,0.0,9,KEEP
adx14,6,30,0.0305,0.0319,2.87,0.0041,9,KEEP
price_vs_vwap_pct,30,150,-0.0281,0.0497,-1.7,0.0892,9,REJECT
ema_spread_pct,12,60,-0.0275,0.021,-3.93,0.0001,9,KEEP
adx14,30,150,0.0271,0.052,1.56,0.1177,9,REJECT
obv_slope,6,30,-0.0251,0.0151,-4.97,0.0,9,KEEP
ema_spread_pct,6,30,-0.023,0.0178,-3.87,0.0001,9,KEEP
ema20,30,150,0.0227,0.134,0.51,0.6112,9,REJECT
obv_slope,30,150,-0.0214,0.0146,-4.4,0.0,9,KEEP
stochrsi_k,12,60,-0.021,0.0422,-1.49,0.1355,9,REJECT
ema5,30,150,0.0184,0.1346,0.41,0.6818,9,REJECT
ema20,12,60,0.013,0.0804,0.49,0.6271,9,REJECT
vol_ratio,30,150,0.0127,0.0417,0.91,0.3615,9,REJECT
vwap_dev_sd,12,60,-0.0099,0.0267,-1.11,0.2663,9,REJECT
ema5,12,60,0.0095,0.081,0.35,0.7255,9,REJECT
price_vs_vwap_pct,12,60,-0.0074,0.0247,-0.89,0.371,9,REJECT
vol_ratio,12,60,0.0072,0.0259,0.84,0.4029,9,REJECT
ema20,6,30,0.0071,0.052,0.41,0.6827,9,REJECT
price_vs_vwap_pct,6,30,-0.0065,0.0211,-0.92,0.3569,9,REJECT
vwap_dev_sd,6,30,-0.0048,0.0235,-0.61,0.5393,9,REJECT
ema5,6,30,0.0041,0.053,0.23,0.8146,9,REJECT
vol_ratio,6,30,0.0039,0.0185,0.63,0.531,9,REJECT
stochrsi_k,30,150,0.001,0.0459,0.06,0.9503,9,REJECT
