feature,ticker,ic,n,p_value,sig
term_spread,SPY,-0.0249,2760,0.191, 
term_spread,QQQ,-0.027,2760,0.1567, 
term_spread,DIA,-0.0096,2760,0.6128, 
term_spread,XLK,-0.0301,2760,0.1137, 
term_spread,XLF,-0.0248,2760,0.1933, 
term_spread,XLE,-0.0036,2760,0.8499, 
term_spread,XLV,0.0105,2760,0.5804, 
term_spread,XLY,-0.0158,2760,0.4073, 
term_spread,XLI,-0.0245,2760,0.1982, 
term_spread_chg_5d,SPY,0.0016,2755,0.9312, 
term_spread_chg_5d,QQQ,0.0084,2755,0.6605, 
term_spread_chg_5d,DIA,-0.016,2755,0.4022, 
term_spread_chg_5d,XLK,0.0067,2755,0.7261, 
term_spread_chg_5d,XLF,-0.0086,2755,0.6509, 
term_spread_chg_5d,XLE,0.0074,2755,0.6967, 
term_spread_chg_5d,XLV,-0.012,2755,0.5305, 
term_spread_chg_5d,XLY,-0.0077,2755,0.6875, 
term_spread_chg_5d,XLI,-0.0095,2755,0.6186, 
y10_chg_5d,SPY,-0.0194,2755,0.3081, 
y10_chg_5d,QQQ,-0.0116,2755,0.5416, 
y10_chg_5d,DIA,-0.0272,2755,0.1539, 
y10_chg_5d,XLK,-0.0112,2755,0.5583, 
y10_chg_5d,XLF,-0.0204,2755,0.2845, 
y10_chg_5d,XLE,-0.0022,2755,0.9068, 
y10_chg_5d,XLV,-0.0118,2755,0.536, 
y10_chg_5d,XLY,-0.0264,2755,0.1652, 
y10_chg_5d,XLI,-0.0268,2755,0.1599, 
y10_z,SPY,-0.0258,2698,0.1802, 
y10_z,QQQ,-0.02,2698,0.2981, 
y10_z,DIA,-0.025,2698,0.194, 
y10_z,XLK,-0.0193,2698,0.3154, 
y10_z,XLF,-0.0263,2698,0.1724, 
y10_z,XLE,0.0049,2698,0.7974, 
y10_z,XLV,-0.0184,2698,0.3394, 
y10_z,XLY,-0.0363,2698,0.0592, 
y10_z,XLI,-0.0295,2698,0.1254, 
hy_ig_logratio,SPY,-0.018,2760,0.3454, 
hy_ig_logratio,QQQ,-0.0134,2760,0.4814, 
hy_ig_logratio,DIA,-0.0293,2760,0.1232, 
hy_ig_logratio,XLK,0.0007,2760,0.9715, 
hy_ig_logratio,XLF,-0.0185,2760,0.3312, 
hy_ig_logratio,XLE,0.015,2760,0.4306, 
hy_ig_logratio,XLV,-0.0222,2760,0.2442, 
hy_ig_logratio,XLY,-0.0334,2760,0.0793, 
hy_ig_logratio,XLI,-0.0158,2760,0.4057, 
hy_ig_z,SPY,-0.0375,2698,0.0517, 
hy_ig_z,QQQ,-0.0348,2698,0.0708, 
hy_ig_z,DIA,-0.0363,2698,0.0594, 
hy_ig_z,XLK,-0.0312,2698,0.1048, 
hy_ig_z,XLF,-0.0252,2698,0.19, 
hy_ig_z,XLE,0.0152,2698,0.431, 
hy_ig_z,XLV,-0.04,2698,0.0377,*
hy_ig_z,XLY,-0.0531,2698,0.0058,*
hy_ig_z,XLI,-0.028,2698,0.1463, 
dxy_z,SPY,-0.0154,2698,0.4251, 
dxy_z,QQQ,-0.0136,2698,0.4817, 
dxy_z,DIA,-0.0206,2698,0.284, 
dxy_z,XLK,-0.0132,2698,0.4935, 
dxy_z,XLF,-0.0248,2698,0.1973, 
dxy_z,XLE,-0.0047,2698,0.8089, 
dxy_z,XLV,-0.0082,2698,0.6713, 
dxy_z,XLY,0.007,2698,0.7154, 
dxy_z,XLI,-0.0355,2698,0.0656, 
dxy_chg_21d,SPY,-0.0051,2739,0.7886, 
dxy_chg_21d,QQQ,0.0036,2739,0.852, 
dxy_chg_21d,DIA,-0.0152,2739,0.4264, 
dxy_chg_21d,XLK,0.0038,2739,0.841, 
dxy_chg_21d,XLF,-0.0237,2739,0.2146, 
dxy_chg_21d,XLE,-0.0125,2739,0.5138, 
dxy_chg_21d,XLV,0.015,2739,0.4315, 
dxy_chg_21d,XLY,0.009,2739,0.6395, 
dxy_chg_21d,XLI,-0.0283,2739,0.1381, 
gold_chg_21d,SPY,0.0166,2739,0.3856, 
gold_chg_21d,QQQ,0.008,2739,0.677, 
gold_chg_21d,DIA,0.0187,2739,0.3285, 
gold_chg_21d,XLK,0.0101,2739,0.5968, 
gold_chg_21d,XLF,0.0237,2739,0.2143, 
gold_chg_21d,XLE,0.0214,2739,0.2623, 
gold_chg_21d,XLV,0.0014,2739,0.9404, 
gold_chg_21d,XLY,0.0121,2739,0.5257, 
gold_chg_21d,XLI,0.0306,2739,0.109, 
gold_z,SPY,0.0141,2698,0.4629, 
gold_z,QQQ,0.0154,2698,0.4232, 
gold_z,DIA,0.0086,2698,0.6539, 
gold_z,XLK,0.0163,2698,0.3974, 
gold_z,XLF,0.0077,2698,0.6892, 
gold_z,XLE,-0.0009,2698,0.9614, 
gold_z,XLV,-0.0015,2698,0.9381, 
gold_z,XLY,0.0137,2698,0.4778, 
gold_z,XLI,0.0258,2698,0.1812, 
oil_chg_5d,SPY,-0.0406,2755,0.0332,*
oil_chg_5d,QQQ,-0.0432,2755,0.0234,*
oil_chg_5d,DIA,-0.0275,2755,0.1494, 
oil_chg_5d,XLK,-0.0398,2755,0.0366,*
oil_chg_5d,XLF,-0.014,2755,0.4634, 
oil_chg_5d,XLE,-0.0249,2755,0.1912, 
oil_chg_5d,XLV,-0.0364,2755,0.056, 
oil_chg_5d,XLY,-0.0395,2755,0.0379,*
oil_chg_5d,XLI,-0.039,2755,0.0404,*
oil_chg_21d,SPY,-0.0118,2739,0.5378, 
oil_chg_21d,QQQ,-0.0142,2739,0.4575, 
oil_chg_21d,DIA,0.0006,2739,0.9748, 
oil_chg_21d,XLK,-0.0073,2739,0.7033, 
oil_chg_21d,XLF,0.0061,2739,0.7506, 
oil_chg_21d,XLE,0.0073,2739,0.7024, 
oil_chg_21d,XLV,-0.0125,2739,0.5131, 
oil_chg_21d,XLY,-0.0241,2739,0.2071, 
oil_chg_21d,XLI,-0.0148,2739,0.4375, 
oil_z,SPY,-0.0249,2698,0.1955, 
oil_z,QQQ,-0.0275,2698,0.153, 
oil_z,DIA,-0.0171,2698,0.374, 
oil_z,XLK,-0.021,2698,0.2766, 
oil_z,XLF,-0.0029,2698,0.881, 
oil_z,XLE,-0.0078,2698,0.6845, 
oil_z,XLV,-0.0111,2698,0.5635, 
oil_z,XLY,-0.0225,2698,0.2433, 
oil_z,XLI,-0.0308,2698,0.1097, 
tlt_chg_21d,SPY,0.0082,2739,0.6676, 
tlt_chg_21d,QQQ,0.0011,2739,0.9521, 
tlt_chg_21d,DIA,0.0046,2739,0.8101, 
tlt_chg_21d,XLK,-0.0034,2739,0.8581, 
tlt_chg_21d,XLF,0.0175,2739,0.3591, 
tlt_chg_21d,XLE,-0.005,2739,0.7926, 
tlt_chg_21d,XLV,0.012,2739,0.5306, 
tlt_chg_21d,XLY,0.0192,2739,0.3147, 
tlt_chg_21d,XLI,0.0168,2739,0.3783, 
tlt_z,SPY,0.0199,2698,0.3018, 
tlt_z,QQQ,0.0147,2698,0.4452, 
tlt_z,DIA,0.0216,2698,0.2615, 
tlt_z,XLK,0.0141,2698,0.4637, 
tlt_z,XLF,0.0189,2698,0.3259, 
tlt_z,XLE,-0.0048,2698,0.8029, 
tlt_z,XLV,0.0154,2698,0.4252, 
tlt_z,XLY,0.0329,2698,0.0871, 
tlt_z,XLI,0.0214,2698,0.2659, 
vvix_z,SPY,0.0228,2698,0.2355, 
vvix_z,QQQ,0.0155,2698,0.4202, 
vvix_z,DIA,0.031,2698,0.1078, 
vvix_z,XLK,0.0067,2698,0.7272, 
vvix_z,XLF,0.0379,2698,0.0489,*
vvix_z,XLE,0.0229,2698,0.2339, 
vvix_z,XLV,0.0255,2698,0.1857, 
vvix_z,XLY,0.0248,2698,0.1986, 
vvix_z,XLI,0.0173,2698,0.3679, 
