factor,horizon,mean_ic,std_ic,icir,t_stat,p_value,n_obs,verdict
mom_63d,1,0.0453,0.5355,0.085,4.39,0.0,2701,KEEP
mom_63d,5,0.0415,0.5424,0.077,3.98,0.0001,2697,KEEP
mom_21d,1,0.035,0.5212,0.067,3.49,0.0005,2701,KEEP
zscore_20,1,0.0332,0.4962,0.067,3.48,0.0005,2701,KEEP
rsi_14,1,0.0301,0.4982,0.06,3.14,0.0017,2701,KEEP
mom_10d,1,0.0254,0.5194,0.049,2.54,0.0111,2701,KEEP
rsi_14,5,0.0232,0.5046,0.046,2.38,0.0172,2697,KEEP
zscore_20,5,0.0218,0.5058,0.043,2.23,0.0254,2697,KEEP
mom_21d,5,0.0208,0.5255,0.04,2.05,0.0399,2697,KEEP
mom_5d,1,0.0173,0.5164,0.034,1.74,0.0813,2701,REJECT
mom_10d,5,0.0169,0.5219,0.032,1.68,0.0921,2697,REJECT
vol_5d,1,-0.0143,0.2678,-0.053,-2.77,0.0056,2701,KEEP
vol_5d,5,-0.013,0.2694,-0.048,-2.51,0.0119,2697,KEEP
trend_strength,1,0.0118,0.2893,0.041,2.12,0.0336,2701,KEEP
mom_5d,5,0.0111,0.5221,0.021,1.1,0.2708,2697,REJECT
vol_21d,5,-0.0106,0.2604,-0.041,-2.11,0.0349,2697,KEEP
vol_21d,1,-0.0103,0.2596,-0.04,-2.07,0.0385,2701,KEEP
mom_1d,5,0.0089,0.517,0.017,0.89,0.3739,2697,REJECT
trend_strength,5,0.0055,0.2841,0.02,1.01,0.3112,2697,REJECT
vol_ratio,5,0.0049,0.2836,0.017,0.89,0.3722,2697,REJECT
mom_1d,1,-0.0025,0.5141,-0.005,-0.25,0.8023,2701,REJECT
vol_ratio,1,0.0001,0.2856,0.0,0.02,0.9834,2701,REJECT
