section,window,is_end_date,oos_start_date,oos_end_date,is_sharpe,oos_sharpe,oos_return,year,return,sharpe,mdd,total_return,n_trades,oos_is_ratio,wf_positive_pct,tier1_pass
walk_forward,1.0,2017-08-15,2017-08-16,2019-05-15,-0.568,-0.589,-0.1342,,,,,,,,,
walk_forward,2.0,2019-05-15,2019-05-16,2021-02-10,-0.571,0.264,0.0634,,,,,,,,,
walk_forward,3.0,2021-02-10,2021-02-11,2022-11-07,-0.108,-0.561,-0.1482,,,,,,,,,
walk_forward,4.0,2022-11-07,2022-11-08,2024-08-08,-0.199,0.262,0.0403,,,,,,,,,
walk_forward,5.0,2024-08-08,2024-08-09,2026-05-13,-0.135,-0.368,-0.1168,,,,,,,,,
annual,,,,,,,,2015.0,-0.0373,-0.603,,,,,,
annual,,,,,,,,2016.0,-0.0933,-1.06,,,,,,
annual,,,,,,,,2017.0,0.0491,1.188,,,,,,
annual,,,,,,,,2018.0,-0.1341,-0.935,,,,,,
annual,,,,,,,,2019.0,-0.0297,-0.179,,,,,,
annual,,,,,,,,2020.0,0.0784,0.388,,,,,,
annual,,,,,,,,2021.0,-0.0436,-0.359,,,,,,
annual,,,,,,,,2022.0,-0.1406,-0.815,,,,,,
annual,,,,,,,,2023.0,0.0783,0.781,,,,,,
annual,,,,,,,,2024.0,-0.0577,-0.466,,,,,,
annual,,,,,,,,2025.0,-0.0881,-0.417,,,,,,
annual,,,,,,,,2026.0,0.0232,0.529,,,,,,
aggregate,,,,,,,,,,-0.1303,0.4312,-0.2794,2411.0,0.0,0.4,0.0
