section,window,is_end,oos_start,oos_end,n_train,n_test,is_auc,oos_auc,year,return,sharpe,mdd,total_return,n_trades,gross_sharpe,cost_yr,wf_positive_pct,auc_ois_ratio,tier1_pass
walk_forward,1.0,2020-04-27,2020-04-28,2021-07-09,6552.0,3939.0,0.8672,0.5631,,,,,,,,,,,
walk_forward,2.0,2021-07-09,2021-07-12,2022-09-21,10491.0,3939.0,0.8207,0.5073,,,,,,,,,,,
walk_forward,3.0,2022-09-21,2022-09-22,2023-12-05,14430.0,3939.0,0.7957,0.5331,,,,,,,,,,,
walk_forward,4.0,2023-12-05,2023-12-06,2025-02-21,18369.0,3939.0,0.7759,0.5318,,,,,,,,,,,
walk_forward,5.0,2025-02-21,2025-02-24,2026-05-14,22308.0,3965.0,0.7461,0.5353,,,,,,,,,,,
annual,,,,,,,,,2020.0,0.2229,3.289,,,,,,,,
annual,,,,,,,,,2021.0,0.1786,2.323,,,,,,,,
annual,,,,,,,,,2022.0,-0.0881,-0.73,,,,,,,,
annual,,,,,,,,,2023.0,0.0763,1.307,,,,,,,,
annual,,,,,,,,,2024.0,0.0368,0.714,,,,,,,,
annual,,,,,,,,,2025.0,0.0539,0.92,,,,,,,,
annual,,,,,,,,,2026.0,0.0235,1.143,,,,,,,,
aggregate_ema_weekly,,,,,,,,,,,1.0311,0.1269,0.5821,1040.0,1.2471,0.0166,0.8,0.6667,1.0
aggregate_daily_baseline,,,,,,,,,,,-0.2527,0.2914,-0.1297,5832.0,0.927,0.0932,,,
