ticker,active_weeks,wr,avg_ret_pct,total_ret_pct,best_pct,worst_pct
XLK,25,0.64,1.3805,28.2617,8.4327,-3.4399
QQQ,38,0.5676,0.8939,23.5758,6.1826,-2.3528
XLE,26,0.68,0.9139,16.3464,6.7145,-4.1503
SPY,44,0.6744,0.5549,12.8598,4.5153,-2.5396
XLI,39,0.6842,0.392,5.1453,4.6784,-4.0646
XLY,39,0.4615,0.2625,0.4857,6.6614,-3.9045
DIA,43,0.5714,0.2501,-0.2449,3.4072,-2.962
SH,5,0.25,-0.1824,-1.9794,2.7724,-2.1828
XLF,34,0.5588,0.091,-5.407,4.3296,-4.8102
XLV,37,0.5278,0.0901,-6.0073,6.8782,-4.6816
PSQ,4,0.3333,-2.0739,-7.2217,0.3434,-5.1737
