label,n,wr,avg_day_pct,sharpe,mdd_pct,total_ret_pct
v3 top-3 thr=0.53,33,0.4848,0.0065,0.24,-6.03,1.29
v3 top-3 thr=0.55,30,0.4667,0.0142,0.58,-4.64,3.34
v3 top-3 thr=0.58,21,0.5714,0.023,1.25,-3.52,5.76
v3 top-3 thr=0.6,16,0.5625,-0.0068,-0.44,-5.19,-1.96
v3 top-3 thr=0.62,14,0.4286,-0.0187,-1.3,-8.02,-4.89
v3 top-5 thr=0.53,33,0.4848,0.0073,0.31,-7.43,1.6
v3 top-5 thr=0.55,30,0.5,0.0176,0.78,-4.64,4.3
v3 top-5 thr=0.58,21,0.5714,0.0303,1.69,-3.52,7.74
v3 top-5 thr=0.6,16,0.5,0.003,0.2,-4.9,0.54
v3 top-5 thr=0.62,14,0.4286,-0.0142,-1.05,-7.02,-3.77
v3 top-7 thr=0.53,32,0.4375,0.0074,0.31,-7.69,1.61
v3 top-7 thr=0.55,29,0.4828,0.0242,1.07,-4.64,6.05
v3 top-7 thr=0.58,20,0.55,0.035,1.98,-3.87,9.03
v3 top-7 thr=0.6,15,0.4667,0.0013,0.09,-5.03,0.1
v3 top-7 thr=0.62,14,0.4286,-0.0156,-1.14,-7.02,-4.12
ens v2+v3 top-3 thr=0.53,29,0.3793,0.0162,0.64,-4.04,3.84
ens v2+v3 top-3 thr=0.55,26,0.4231,0.0179,0.8,-4.98,4.35
ens v2+v3 top-3 thr=0.58,10,0.4,0.0008,0.08,-4.73,0.05
ens v2+v3 top-3 thr=0.6,10,0.4,-0.0069,-0.63,-6.54,-1.94
ens v2+v3 top-5 thr=0.53,29,0.3793,0.0197,0.83,-4.05,4.81
ens v2+v3 top-5 thr=0.55,26,0.4231,0.0181,0.82,-4.98,4.41
ens v2+v3 top-5 thr=0.58,10,0.4,0.0002,0.02,-4.75,-0.12
ens v2+v3 top-5 thr=0.6,10,0.4,-0.008,-0.73,-6.57,-2.21
ens v2+v3 top-7 thr=0.53,29,0.3793,0.0174,0.72,-5.18,4.19
ens v2+v3 top-7 thr=0.55,26,0.4231,0.0202,0.88,-4.98,4.93
ens v2+v3 top-7 thr=0.58,10,0.4,-0.0024,-0.23,-4.75,-0.77
ens v2+v3 top-7 thr=0.6,10,0.4,-0.0078,-0.7,-6.58,-2.15
v3 top-3 thr=0.55 vix>=16,23,0.5217,0.013,0.61,-3.92,3.04
v3 top-3 thr=0.55 vix>=18,15,0.4,0.0215,1.7,-2.3,5.46
v3 top-3 thr=0.55 vix>=20,10,0.4,0.0123,1.31,-2.37,3.04
v3 top-5 thr=0.55 vix>=16,23,0.5217,0.0148,0.76,-3.92,3.56
v3 top-5 thr=0.55 vix>=18,15,0.4667,0.0273,2.6,-2.3,7.07
v3 top-5 thr=0.55 vix>=20,10,0.4,0.0143,1.75,-2.3,3.59
v3 top-7 thr=0.55 vix>=16,22,0.5,0.0192,0.99,-3.92,4.71
v3 top-7 thr=0.55 vix>=18,15,0.4,0.0312,2.62,-2.62,8.1
v3 top-7 thr=0.55 vix>=20,10,0.3,0.0137,1.62,-2.62,3.44
