date,vol_pc,oi_pc,n_expirations,underlying_px
2026-05-18,1.2046,3.4775,10,739.17
2026-05-19,1.1864,2.8758,10,732.32
2026-05-20,1.2789,2.7159,10,733.73
2026-05-21,1.0963,3.1643,10,741.25
2026-05-22,1.2098,3.0744,10,746.68
2026-05-26,1.424,3.0112,10,750.35
2026-06-01,0.9954,1.6638,10,756.48
2026-06-02,1.2382,2.2194,10,758.54
2026-06-03,1.0928,2.3989,10,759.57
2026-06-04,1.2376,2.5334,10,754.24
2026-06-05,1.1204,2.5471,10,757.09
2026-06-08,1.4808,2.1407,10,737.55
2026-06-09,1.2677,2.167,10,739.22
2026-06-10,1.3885,2.3858,10,737.05
2026-06-11,1.266,2.2192,10,725.43
2026-06-12,1.1203,2.1703,10,737.76
2026-06-15,1.0269,2.4162,10,741.75
2026-06-16,0.9271,2.4167,10,754.83
2026-06-18,0.8117,2.7667,10,740.96
2026-06-19,1.3563,2.9478,10,746.74
2026-06-22,1.3182,2.3537,10,746.74
2026-06-23,1.1038,2.923,10,744.39
2026-06-24,1.2533,2.747,10,733.58
2026-06-25,1.2583,2.9323,10,733.24
2026-06-26,1.2699,3.0779,10,734.3
2026-06-29,1.4925,2.7076,10,728.99
2026-06-30,1.4179,2.692,10,741.0
2026-07-01,1.0472,2.5785,10,746.77
2026-07-02,1.0106,2.6549,10,745.76
2026-07-03,1.122,3.141,10,744.78
2026-07-06,1.0574,2.4529,10,744.78
2026-07-07,1.059,2.2653,10,751.28
2026-07-08,1.0104,2.2552,10,747.71
2026-07-09,1.2069,2.2146,10,745.4
2026-07-10,1.0804,2.4774,10,751.71
2026-07-13,1.1803,2.1889,10,754.95
2026-07-14,1.4782,2.554,10,749.17
2026-07-15,1.0212,2.6486,10,751.83
2026-07-16,1.1644,2.3549,10,754.81
2026-07-17,1.2348,2.5307,10,750.72
2026-07-20,1.3383,1.9733,10,743.29
2026-07-21,1.1491,1.8466,10,742.09
